business_information_raw,Name,Contact,Phone,Fax,Email,Website,Location,business_information_addl,Ownership Text,Owner African American,Owner Hispanic,Owner Asian,Owner Veteran,Owner Female,Business Description,Certification Information,page_id,url,Locations
"
Business Information
Name: AFE Construction, LLC

This is an African American Female-Owned Business


Contact: Monica Arbuckle

Phone: 3092083094

Fax: 8664912209

Email: monica@afeconstruction.net
Website: http://www.afeconstruction.net

Location: P.O. Box 10331, Peoria IL 61612","AFE Construction, LLC",Monica Arbuckle,3092083094,8664912209,monica@afeconstruction.net,http://www.afeconstruction.net,"P.O. Box 10331, Peoria IL 61612","n
Name: AFE Construction, LLC

This is an African American Female-Owned Business


Contact: Monica Arbuckle

Phone: 3092083094

Fax: 8664912209

Email: monica@afeconstruction.net
Website: http://www.afeconstruction.net

Location: P.O. Box 10331, Peoria IL 61612",African American Female,True,False,False,False,True,"AFE Construction is a certified Women Owned Small Business (WOSB), Minority Business Enterprise (MBE), Disadvantage Business Enterprise (DBE) and Business Enterprise Program (BEP) company and is a leading Construction Management and  General Contractor in central Illinois.","Decatur - WBE certification expiring on August 24th, 2025
Decatur - MBE certification expiring on August 24th, 2025
Champaign - WBE certification expiring on August 25th, 2025
Champaign - MBE certification expiring on August 25th, 2025
Champaign - SBA expiring on August 24th, 2025
Peoria - SBA expiring on August 24th, 2025
Peoria - MBE certification expiring on August 25th, 2025
Peoria - WBE certification expiring on August 25th, 2025",2349,https://www.eprismsoft.com/business/show?seq=2349,
"
Business Information
Name: Amigos 1 Inc--Amigos Auto Repair

This is a Hispanic-Owned Business


Contact: Rudy Sanchez

Phone: 309-671-9981

Fax: None

Email: amigos.auto.repair1@gmail.com
Website: None

Location: 1013 N. Orange St., Peoria IL 61606",Amigos 1 Inc--Amigos Auto Repair,Rudy Sanchez,309-671-9981,None,amigos.auto.repair1@gmail.com,None,"1013 N. Orange St., Peoria IL 61606","n
Name: Amigos 1 Inc--Amigos Auto Repair

This is a Hispanic-Owned Business


Contact: Rudy Sanchez

Phone: 309-671-9981

Fax: None

Email: amigos.auto.repair1@gmail.com
Website: None

Location: 1013 N. Orange St., Peoria IL 61606",Hispanic,False,True,False,False,False,"Replace engines & transmissions, heating & A/C repair, Tires, suspension & brakes and exhaust, Auto body repair, dent / scratch repair / removal, auto paint repair, paintless dent repair (PDR), bumper repair, and more.","Peoria - MBE certification expiring on August 10th, 2025",88501,https://www.eprismsoft.com/business/show?seq=88501,
"
Business Information
Name: Better 2 Maintain, LLC




Contact: Denise Neumann

Phone: 309-444-4288

Fax: 309-444-4288

Email: better2maintain@yahoo.com
Website: None

Location: 1754 N. Main Street, Washington IL 61571","Better 2 Maintain, LLC",Denise Neumann,309-444-4288,309-444-4288,better2maintain@yahoo.com,None,"1754 N. Main Street, Washington IL 61571","n
Name: Better 2 Maintain, LLC




Contact: Denise Neumann

Phone: 309-444-4288

Fax: 309-444-4288

Email: better2maintain@yahoo.com
Website: None

Location: 1754 N. Main Street, Washington IL 61571",,False,False,False,False,False,"The principal business activity of Better 2 Maintain, LLC is Construction/Residential Remodeling.","Peoria - SBA expiring on August 10th, 2025
Peoria - MBE certification expiring on August 10th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88508,https://www.eprismsoft.com/business/show?seq=88508,
"
Business Information
Name: BUDDY'S GROUNDS MAINT, INC.

This is an African American-Owned Business


Contact: Dexter Davis

Phone: 309-824-9211

Fax: 309-454-3342

Email: dexterdavis2@aol.com
Website: None

Location: 1418 Courtland Ave., Normal IL 61761","BUDDY'S GROUNDS MAINT, INC.",Dexter Davis,309-824-9211,309-454-3342,dexterdavis2@aol.com,None,"1418 Courtland Ave., Normal IL 61761","n
Name: BUDDY'S GROUNDS MAINT, INC.

This is an African American-Owned Business


Contact: Dexter Davis

Phone: 309-824-9211

Fax: 309-454-3342

Email: dexterdavis2@aol.com
Website: None

Location: 1418 Courtland Ave., Normal IL 61761",African American,True,False,False,False,False,"LANDSCAPING (PLANTING, ETC.)
SEEDING & SODDING; LANDSCAPING; EROSION CONTROL
","IL - DBE certification expiring on March 22nd, 2020
IL BEP - MBE certification expiring on July 19th, 2019
Decatur - MBE certification expiring on February 1st, 2025
Champaign - MBE certification expiring on February 4th, 2025
PHA - MBE certification expiring on May 7th, 2022
MDOT - DBE certification expiring on May 21st, 2019
Peoria - MBE certification expiring on September 19th, 2025",81923,https://www.eprismsoft.com/business/show?seq=81923,
"
Business Information
Name: Cafe Santa Rosa LTD

This is a Hispanic Female-Owned Business


Contact: Marta Vidal

Phone: 309-214-9255

Fax: None

Email: customercare@cafesantarosa.com
Website: http://www.cafesantarosa.CO

Location: 5901 N Prospect Rd Suite 7, Peoria IL 61615",Cafe Santa Rosa LTD,Marta Vidal,309-214-9255,None,customercare@cafesantarosa.com,http://www.cafesantarosa.CO,"5901 N Prospect Rd Suite 7, Peoria IL 61615","n
Name: Cafe Santa Rosa LTD

This is a Hispanic Female-Owned Business


Contact: Marta Vidal

Phone: 309-214-9255

Fax: None

Email: customercare@cafesantarosa.com
Website: http://www.cafesantarosa.CO

Location: 5901 N Prospect Rd Suite 7, Peoria IL 61615",Hispanic Female,False,True,False,False,True,"Specialty Colombian coffee, growers, importers, sellers: From Farm to Cup.  ","Peoria - MBE certification expiring on August 10th, 2025",88535,https://www.eprismsoft.com/business/show?seq=88535,
"
Business Information
Name: CalianaG

This is an African American Female-Owned Business


Contact: Calisha D. Greer

Phone: 309-210-9113

Fax: None

Email: Calianag1@gmail.com
Website: http://www.Calianag.com

Location: 7150 N Terra Vista Dr 411, Peoria IL 61614",CalianaG,Calisha D. Greer,309-210-9113,None,Calianag1@gmail.com,http://www.Calianag.com,"7150 N Terra Vista Dr 411, Peoria IL 61614","n
Name: CalianaG

This is an African American Female-Owned Business


Contact: Calisha D. Greer

Phone: 309-210-9113

Fax: None

Email: Calianag1@gmail.com
Website: http://www.Calianag.com

Location: 7150 N Terra Vista Dr 411, Peoria IL 61614",African American Female,True,False,False,False,True,"Hello, my name is CalianaG. I am a Voiceover Artist specializing in radio/tv/online advertising, automated systems, storytelling, education tutorials, ASMR, if you need a voice, I can bring your words to life! 

I have pricing available for the following:
Voiceover Only
Voiceover with Digital Content
Add ons include pictures, videos, music.

Each order includes 1 free revision.

I have years of radio/online advertising experience.

Willing to travel.","Peoria - MBE certification expiring on August 18th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88533,https://www.eprismsoft.com/business/show?seq=88533,
"
Business Information
Name: Connie's Commercial Cleaning Company, LLC

This is a Female-Owned Business


Contact: Constance Robinson

Phone: 309-622-2409

Fax: None

Email: Constance@conniescommercialcleaning.com
Website: http://www.conniescommercialcleaning.com

Location: 2601 W Lake Ave, Peoria IL 61615","Connie's Commercial Cleaning Company, LLC",Constance Robinson,309-622-2409,None,Constance@conniescommercialcleaning.com,http://www.conniescommercialcleaning.com,"2601 W Lake Ave, Peoria IL 61615","n
Name: Connie's Commercial Cleaning Company, LLC

This is a Female-Owned Business


Contact: Constance Robinson

Phone: 309-622-2409

Fax: None

Email: Constance@conniescommercialcleaning.com
Website: http://www.conniescommercialcleaning.com

Location: 2601 W Lake Ave, Peoria IL 61615",Female,False,False,False,False,True,"We offer construction companies final clean, and post-construction cleanup services on their building projects. We've serviced STATE, FEDERAL, and private building projects throughout the State of Illinois.","IL BEP - MBE certification expiring on November 30th, 2022
Decatur - WBE certification expiring on August 9th, 2025
Decatur - MBE certification expiring on August 9th, 2025
Champaign - WBE certification expiring on August 9th, 2025
Champaign - MBE certification expiring on August 9th, 2025
IL BEP - WBE certification expiring on November 30th, 2022
Champaign - SBA expiring on August 9th, 2025
Peoria - SBA expiring on August 9th, 2025
Peoria - MBE certification expiring on August 10th, 2025",88449,https://www.eprismsoft.com/business/show?seq=88449,
"
Business Information
Name: CSE Software inc.

This is a Female-Owned Business


Contact: Renee Gorrell

Phone: 3096707595

Fax: None

Email: wbe@csesoftware.com
Website: https://www.csesoftware.com/

Location: 316 SW Washington Street STE 300, Peoria IL 61602",CSE Software inc.,Renee Gorrell,3096707595,None,wbe@csesoftware.com,https://www.csesoftware.com/,"316 SW Washington Street STE 300, Peoria IL 61602","n
Name: CSE Software inc.

This is a Female-Owned Business


Contact: Renee Gorrell

Phone: 3096707595

Fax: None

Email: wbe@csesoftware.com
Website: https://www.csesoftware.com/

Location: 316 SW Washington Street STE 300, Peoria IL 61602",Female,False,False,False,False,True,"CSE creates digital solutions that fit our customer’s exact needs using the appropriate technology for each project.  Enterprise software, simulation, and cloud development are our core development strengths. We offer 24x7 customer support for our own products and our client's​ products. 
","Decatur - WBE certification expiring on August 19th, 2025
Champaign - WBE certification expiring on August 19th, 2025
Champaign - SBA expiring on August 19th, 2025
Peoria - SBA expiring on August 19th, 2025
Peoria - WBE certification expiring on August 23rd, 2025",88455,https://www.eprismsoft.com/business/show?seq=88455,
"
Business Information
Name: Cupcake Diva, LLC

This is an African American Female-Owned Business


Contact: Toni Young

Phone: 3096577609

Fax: None

Email: younger491970@gmail.com
Website: None

Location: 407 E Pasadena Ave, Peoria IL 61603","Cupcake Diva, LLC",Toni Young,3096577609,None,younger491970@gmail.com,None,"407 E Pasadena Ave, Peoria IL 61603","n
Name: Cupcake Diva, LLC

This is an African American Female-Owned Business


Contact: Toni Young

Phone: 3096577609

Fax: None

Email: younger491970@gmail.com
Website: None

Location: 407 E Pasadena Ave, Peoria IL 61603",African American Female,True,False,False,False,True,We are a cupcake and treat business that specialize in making every bite one to remember.,"Peoria - SBA expiring on August 10th, 2025
Peoria - MBE certification expiring on August 18th, 2025
Peoria - WBE certification expiring on August 23rd, 2025",88538,https://www.eprismsoft.com/business/show?seq=88538,
"
Business Information
Name: DH20, LLC

This is an African American-Owned Business


Contact: Derrick DeWayne Harris

Phone: 3094126761

Fax: None

Email: gd7530@yahoo.com
Website: None

Location: 1602 S Livingston St, Peoria IL 61605","DH20, LLC",Derrick DeWayne Harris,3094126761,None,gd7530@yahoo.com,None,"1602 S Livingston St, Peoria IL 61605","n
Name: DH20, LLC

This is an African American-Owned Business


Contact: Derrick DeWayne Harris

Phone: 3094126761

Fax: None

Email: gd7530@yahoo.com
Website: None

Location: 1602 S Livingston St, Peoria IL 61605",African American,True,False,False,False,False,"DH20,LLC is a trucking and hauling business. We provide opportunities for truckers to earn and learn.","Peoria - SBA expiring on August 9th, 2025
Peoria - MBE certification expiring on August 10th, 2025",88485,https://www.eprismsoft.com/business/show?seq=88485,
